date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:58	26939/26939	---M--	200	added ('OK')	text/html	etag:%22d2fef36d1d91b9251d03e618e3ee7481%22	https://kolfag.com/	C:/Mes%20Sites%20Web/Phantom/kolfag.com/index.html	(from )
13:12:58	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cf4ad8bc02e3b091eeb21e41c4c96906%22	https://kolfag.com/robots.txt		(from )
13:12:59	10502/10502	---MCZ	200	added ('OK')	text/css	etag:W/%22f1860d4ac7d9560b0b730c311f93e3ee%22	https://kolfag.com/_next/static/css/3f97f735df8ddc8a.css	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/css/3f97f735df8ddc8a.css	(from https://kolfag.com/)
13:12:59	7209/7209	---MCZ	200	added ('OK')	text/css	etag:W/%225830f5b70f83dc1ea55e4d8ac7ac5e70%22	https://kolfag.com/_next/static/css/8a81aed0419f4f1a.css	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/css/8a81aed0419f4f1a.css	(from https://kolfag.com/)
13:13:00	3903/3903	---MCZ	200	added ('OK')	application/javascript	etag:W/%224813beceddfc21e1b873a9117e02f08e%22	https://kolfag.com/_next/static/chunks/webpack-96a850a97b855ea2.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/webpack-96a850a97b855ea2.js	(from https://kolfag.com/)
13:13:00	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e5e92afa9bb7d8bd24d433228a9b9b9c%22	https://kolfag.com/_next/static/chunks/bc06a508-a937c3c77c1b064e.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/bc06a508-a937c3c77c1b064e.js	(from https://kolfag.com/)
13:13:01	123484/123484	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e063324294961e4fc73ec4b6b8376f36%22	https://kolfag.com/_next/static/chunks/720-ff9089a21d86b95c.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/720-ff9089a21d86b95c.js	(from https://kolfag.com/)
13:13:02	462/462	---M--	200	added ('OK')	application/javascript	etag:%22c7c1bfced9a4e223e1ef0b98e4305744%22	https://kolfag.com/_next/static/chunks/main-app-a2ad7e388e51d905.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/main-app-a2ad7e388e51d905.js	(from https://kolfag.com/)
13:13:02	143287/143287	---MCZ	200	added ('OK')	application/javascript	etag:W/%22956d57952e574dd22d265a2966f440aa%22	https://kolfag.com/_next/static/chunks/251457c8-65b218733a9eac5c.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/251457c8-65b218733a9eac5c.js	(from https://kolfag.com/)
13:13:03	253660/253660	---MCZ	200	added ('OK')	application/javascript	etag:W/%228cd4c45ef0447f6a7204d78440de4561%22	https://kolfag.com/_next/static/chunks/7138ab1c-71b6bb8f85eba2f3.js	C:/Mes%20Sites%20Web/Phantom/kolfag.com/_next/static/chunks/7138ab1c-71b6bb8f85eba2f3.js	(from https://kolfag.com/)
